channelId,channelTitle,label,label_id,shortDesc,confidence,knowledge_source,evidence,shortlist_count
UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,Academic Courses & Lectures,academic-courses-lectures,Clinicians and students deserve better medical education! We’ve sat through dense PowerPoint lectures with way too much info crammed into each slide and wondered... are we supposed to read all this and listen to the instructor at the same t,0.9,both,"The channel focuses on medical education and lectures, aiming to provide clarity in complex topics, which aligns with structured academic courses and lectures.",12
UCUowDOg5xfSWV0hUYeUUbfw,Notepirate,Academic Courses & Lectures,academic-courses-lectures,"Learn Financial Accounting, Managerial (Cost) Accounting, Intermediate Accounting and Corporate Finance with Notepirate. Short videos, fast paced and clear illustrative examples! Our brand intends to cover every relevant topic which will al",0.9,both,"The channel focuses on teaching financial accounting and corporate finance, which aligns with structured academic courses, and the description emphasizes preparation for CPA certification, indicating a strong educational component.",12
UCNJ1Ymd5yFuUPtn21xtRbbw,AI Explained,AI Tools & Productivity,ai-tools-productivity,"Covering the biggest news of the century - the arrival of smarter-than-human AI. The author of Simple Bench, exposing the remaining human-LLM reasoning gap. Join me at AI Insiders, with exclusive videos and a 1000+ network of AI enthusiasts",0.9,both,"The channel focuses on AI developments and tools, indicating a strong emphasis on productivity through AI, as well as the author's background in software development and integration of various APIs.",12
UCwicfou4Ewu-koikmga-bEg,AI In Context,AI Tools & Productivity,ai-tools-productivity,"AI is now everyone's problem. Let me catch you up. I'm Aric. AI is fast-moving, confusing, and suddenly everywhere. It's tempting to tune out of the discussion, but I think it's never been more important to tune in. I want to share with you",0.9,both,"The channel focuses on AI's impact and practical implications, aligning with AI tools and productivity themes, while also being produced by a nonprofit that emphasizes the importance of understanding AI's role in society.",12
UCZRp6-Xvzo_dBFvt9L7y3Qw,Build Great Products,AI Tools & Productivity,ai-tools-productivity,Join my Skool community to build your AI app in 30 days. Helping you go from big idea to profitable app with AI. 🚀 For the last 15 years I've been designing digital products and advising startups on design and I want to help you build the ,0.9,both,"The channel focuses on building AI applications and emphasizes practical guidance for creating profitable apps, aligning closely with AI tools and productivity.",12
UCghY41qySm6IMH9VbRvf9VA,CopyandContentAI,AI Tools & Productivity,ai-tools-productivity,"Imagine AI that’s SO powerful, it writes ALL of your customized sales copy and content FOR YOU (based on your specific customer avatar)…with the click of a button! CopyandContent.AI has a unique combination of tools, technology, and trainin",0.9,both,"The channel focuses on AI tools for generating customized sales copy and content, aligning with productivity enhancement through AI, as indicated in the title and description.",12
UC08Fah8EIryeOZRkjBRohcQ,Creator Magic,AI Tools & Productivity,ai-tools-productivity,"Creator Magic explores the latest AI tools and news, with a focus on AI coding. Our videos cover new AI tools, workflow automation, and practical ways to leverage AI for more efficient and innovative projects. Now everyone can build the ide",0.9,both,"The channel focuses on AI tools and their practical applications in coding workflows, aligning closely with the 'AI Tools & Productivity' category. The description emphasizes leveraging AI for efficiency and innovation, which is a key aspect of productivity.",12
UC_RovKmk0OCbuZjA8f08opw,Futurepedia,AI Tools & Productivity,ai-tools-productivity,Learn to leverage AI tools and acquire AI skills to future-proof your life and business.,0.9,both,"The channel title 'Futurepedia' and description emphasize leveraging AI tools and acquiring AI skills, which aligns closely with practical use of AI assistants and tools for productivity.",12
UCui4jxDaMb53Gdh-AZUTPAg,Liam Ottley,AI Tools & Productivity,ai-tools-productivity,"I’m an AI entrepreneur from New Zealand. In 2023 I created the 'AI Automation Agency' or 'AAA' model based on my learnings at my own agency Morningside AI. On this channel I share my learnings from running my own AI Automation Agency, AI Sa",0.9,both,"The channel focuses on AI entrepreneurship and shares insights on running an AI Automation Agency, which aligns with the use of AI tools for productivity.",12
UChpleBmo18P08aKCIgti38g,Matt Wolfe,AI Tools & Productivity,ai-tools-productivity,Exploring the capabilities of AI and the latest tech Discover More: 🛠️ Explore AI Tools & News: https://futuretools.io/ 📰 Weekly Newsletter: https://futuretools.io/newsletter 🎙️ The Next Wave Podcast: https://youtube.com/@TheNextWavePod ,0.9,both,"The channel focuses on exploring AI capabilities and the latest tech, which aligns closely with AI tools and productivity themes.",12
